Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2015,180 000 - 189 999,Ford,Fiesta,7 CV,hay_salam,Diesel,"(nan,)"
2007,140 000 - 149 999,Ford,Fusion,8 CV,oulfa,Essence,"(52000.0,)"
2016,90 000 - 94 999,Volkswagen,Caddy,6 CV,hay_dakhla,Diesel,"(215000.0,)"
2008,120 000 - 129 999,Audi,A5,11 CV,"Voitures, Offre",Diesel,"(179000.0,)"
riad_oulad_mtaa,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Equipements pour enfant et bébé, Offre","(1500.0,)"
2014,110 000 - 119 999,Skoda,RAPID,6 CV,guich_oudaya,Diesel,"(108000.0,)"
1988,Plus de 500 000,Peugeot,205,7 CV,"Voitures, Offre",Diesel,"(25000.0,)"
2007,170 000 - 179 999,Renault,Kangoo,"Voitures, Offre","
",Diesel,"(58000.0,)"
2003,200 000 - 249 999,Ford,Focus,8 CV,guich_oudaya,Essence,"(42000.0,)"
2010,20 000 - 24 999,Hyundai,i 10,6 CV,"Voitures, Offre",Essence,"(54000.0,)"
2013,110 000 - 119 999,Renault,Kangoo,6 CV,autre_secteur,Diesel,"(105000.0,)"
2016,85 000 - 89 999,Dacia,Dokker,6 CV,ain_sebaa,Diesel,"(92000.0,)"
1991,10 000 - 14 999,Peugeot,205,toute_la_ville,"Voitures, Offre",Essence,"(27000.0,)"
2002,200 000 - 249 999,BMW,Serie 3,11 CV,"Voitures, Offre",Essence,"(40000.0,)"
souissi,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Terrains et Fermes, Offre","(nan,)"
al_fida,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Equipements pour enfant et bébé, Offre","(nan,)"
2014,130 000 - 139 999,Mercedes-Benz,Classe E,9 CV,"Voitures, Offre",Diesel,"(269000.0,)"
2014,95 000 - 99 999,Peugeot,508,8 CV,belvedere,Diesel,"(nan,)"
2011,200 000 - 249 999,Citroen,Berlingo,7 CV,autre_secteur,Diesel,"(53000.0,)"
allal_el_fassi,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(200.0,)"
2011,140 000 - 149 999,Peugeot,308,6 CV,"Voitures, Offre",Diesel,"(100000.0,)"
