Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2009,130 000 - 139 999,BMW,Serie 3,8 CV,gauthier,Diesel,"(['190000', '190', '000', '190000', '190', '000'],)"
2008,160 000 - 169 999,BMW,Serie 5,13 CV,"Voitures, Offre",Essence,"([],)"
2009,100 000 - 109 999,Mazda,5,10 CV,yacoub_el_mansour,Essence,"([],)"
2019,0 - 4 999,Mercedes-Benz,Classe A,wilaya,"Voitures, Offre",Diesel,"([],)"
2013,130 000 - 139 999,Volkswagen,Touareg,12 CV,ain_chock,Diesel,"([],)"
2017,30 000 - 34 999,Dacia,Duster,6 CV,les_portes_de_marrakech,Diesel,"([],)"
2014,90 000 - 94 999,Dacia,Dokker,6 CV,azli,Diesel,"(['84000', '84', '000', '84000', '84', '000'],)"
2006,110 000 - 119 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,"(['47000', '47', '000', '47000', '47', '000'],)"
1990,350 000 - 399 999,Peugeot,309,7 CV,"Voitures, Offre",Diesel,"(['35000', '35', '000', '35000', '35', '000'],)"
2008,100 000 - 109 999,Fiat,Bravo,8 CV,"Voitures, Offre",Essence,"(['67000', '67', '000', '67000', '67', '000'],)"
2010,150 000 - 159 999,Dacia,Logan,toute_la_ville,"Voitures, Offre",Diesel,"(['70000', '70', '000', '70000', '70', '000'],)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['1499', '1', '499', '1499', '1', '499'],)"
2016,40 000 - 44 999,Dacia,Logan,6 CV,ain_amiyer,Diesel,"([],)"
2008,70 000 - 74 999,Hyundai,Tucson,11 CV,sidi_maarouf,Essence,"(['69000', '69', '000', '69000', '69', '000'],)"
2012,0 - 4 999,Peugeot,207,8 CV,"Voitures, Offre",Essence,"(['65000', '65', '000', '65000', '65', '000'],)"
2006,300 000 - 349 999,Volkswagen,GOLF 4,"Voitures, Offre","
",Diesel,"(['79500', '79', '500', '79500', '79', '500'],)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['199', '199', '199', '199'],)"
2011,110 000 - 119 999,Chevrolet,Aveo,7 CV,"Voitures, Offre",Essence,"(['58000', '58', '000', '58000', '58', '000'],)"
2011,120 000 - 129 999,Volkswagen,GOLF 6,8 CV,"Voitures, Offre",Diesel,"([],)"
2003,250 000 - 299 999,Volkswagen,GOLF 4,8 CV,autre_secteur,Diesel,"([],)"
2010,130 000 - 139 999,Mercedes-Benz,220,9 CV,hay_qods,Diesel,"([],)"
