Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2011,130 000 - 139 999,Audi,Q7,12 CV,yacoub_el_mansour,Diesel,"(None,)"
2005,10 000 - 14 999,Peugeot,206,"Voitures, Offre","
",Essence,37 000
2013,140 000 - 149 999,Renault,Symbol,6 CV,"Voitures, Offre",Diesel,72 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2013,120 000 - 129 999,Volkswagen,Tiguan,8 CV,sidi_maarouf,Diesel,198 000
2011,180 000 - 189 999,Volkswagen,Tiguan,"Voitures, Offre","
",Diesel,"(None,)"
2014,80 000 - 84 999,Peugeot,3008,"Voitures, Offre","
",Diesel,110 000
2011,130 000 - 139 999,Peugeot,206,ain_chock,"Voitures, Offre",Diesel,70 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
1992,5 000 - 9 999,Renault,R4,5 CV,"Voitures, Offre",Essence,15 000
2014,160 000 - 169 999,Land Rover,Range Rover Evoque,centre_ville,"Voitures, Offre",Diesel,330 000
1999,20 000 - 24 999,Audi,A3,8 CV,"Voitures, Offre",Diesel,52 000
2008,20 000 - 24 999,Chery,Tiggo,11 CV,"Voitures, Offre",Essence,28 000
1997,180 000 - 189 999,Renault,MEGANE CC,7 CV,"Voitures, Offre",Diesel,38 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2001,10 000 - 14 999,Peugeot,206,7 CV,"Voitures, Offre",Diesel,47 000
1990,450 000 - 499 999,Volkswagen,Jetta,6 CV,centre_ville,Diesel,42 000
2012,60 000 - 64 999,Citroen,DS3,"Voitures, Offre","
",Essence,"(None,)"
2010,200 000 - 249 999,Renault,other,8 CV,aviation__mabella,Diesel,90 000
2014,95 000 - 99 999,Citroen,C3,7 CV,2_mars,Essence,74 000
2011,100 000 - 109 999,Dacia,Logan,6 CV,toute_la_ville,Diesel,"(None,)"
2016,50 000 - 54 999,Renault,Logan,oulfa,"Voitures, Offre",Diesel,68 000
2006,120 000 - 129 999,Renault,Modus,6 CV,la_colline,Essence,57 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2010,150 000 - 159 999,Volkswagen,Passat,8 CV,iberie,Diesel,115 000
2018,35 000 - 39 999,Ford,Kuga,8 CV,ain_borja,Diesel,260 000
2014,140 000 - 149 999,Volvo,S60,8 CV,sidi_maarouf,Diesel,149 000
2011,120 000 - 129 999,BMW,Serie 5,anfa,"Voitures, Offre",Diesel,210 000
2015,90 000 - 94 999,Peugeot,308,6 CV,route_de_sefrou,Diesel,"(None,)"
1999,30 000 - 34 999,Citroen,C15,7 CV,"Voitures, Offre",Diesel,28 000
1987,15 000 - 19 999,Volkswagen,Jetta,7 CV,"Voitures, Offre",Diesel,40 000
2014,85 000 - 89 999,Land Rover,Range Rover Sport,belvedere,"Voitures, Offre",Diesel,"(None,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2012,5 000 - 9 999,Hyundai,i 10,6 CV,"Voitures, Offre",Essence,6 200
2011,0 - 4 999,Renault,Kangoo,6 CV,"Voitures, Offre",Diesel,"(None,)"
2015,70 000 - 74 999,Audi,A3,6 CV,massira,Diesel,209 000
2017,55 000 - 59 999,Toyota,Corolla,6 CV,yacoub_el_mansour,Diesel,"(None,)"
2007,120 000 - 129 999,Suzuki,Grand Vitara,toute_la_ville,"Voitures, Offre",Essence,58 000
2018,25 000 - 29 999,Peugeot,208,6 CV,autre_secteur,Diesel,"(None,)"
2012,180 000 - 189 999,Volkswagen,Passat,8 CV,oulfa,Diesel,"(None,)"
2015,60 000 - 64 999,Kia,C'eed,6 CV,sidi_maarouf,Diesel,159 000
2005,300 000 - 349 999,Kia,Sorento,9 CV,"Voitures, Offre",Diesel,58 000
2012,20 000 - 24 999,Renault,Kangoo,7 CV,"Voitures, Offre",Diesel,90 000
2005,180 000 - 189 999,Peugeot,206,"Voitures, Offre","
",Diesel,"(None,)"
2009,200 000 - 249 999,Jaguar,X-Type,8 CV,skikina,Diesel,105 000
1,"-
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",targa,350
2015,110 000 - 119 999,Skoda,Octavia,8 CV,ain_borja,Diesel,150 000
2012,120 000 - 129 999,Opel,Astra,6 CV,2_mars,Diesel,110 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
1995,15 000 - 19 999,Rover,Serie 600,11 CV,qasbat_ennouar,Essence,25 000
2016,95 000 - 99 999,Land Rover,Range Rover Evoque,8 CV,ain_diab,Diesel,"(None,)"
2006,100 000 - 109 999,Porsche,Cayenne,26 CV,"Voitures, Offre",Essence,85 000
2016,80 000 - 84 999,Nissan,Qashqai,6 CV,sidi_maarouf,Diesel,"(None,)"
2016,40 000 - 44 999,Dacia,Dokker,6 CV,ouled_oujih,Diesel,100 000
2018,30 000 - 34 999,Audi,A6,8 CV,maarif,Diesel,390 000
2012,35 000 - 39 999,Skoda,Yeti,8 CV,centre_ville,Diesel,165 000
2015,80 000 - 84 999,Ford,Focus,6 CV,massira,Diesel,155 000
2018,35 000 - 39 999,Dacia,Sandero,6 CV,la_colline,Diesel,121 500
2016,85 000 - 89 999,Volkswagen,CC,"Voitures, Offre","
",Diesel,225 000
1995,80 000 - 84 999,Fiat,Uno,hay_moulay_rachid,"Voitures, Offre",Diesel,20 000
2016,40 000 - 44 999,Renault,Megane,6 CV,"Voitures, Offre",Diesel,165 000
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(None,)"
2006,190 000 - 199 999,Peugeot,307,6 CV,"Voitures, Offre",Diesel,76 000
2018,5 000 - 9 999,Audi,A3,6 CV,hay_el_fath,Diesel,"(None,)"
2009,140 000 - 149 999,Volkswagen,PASSAT CC,"Voitures, Offre","
",Diesel,149 000
2012,110 000 - 119 999,Opel,Astra,8 CV,hay_riad,Essence,90 000
2014,90 000 - 94 999,Fiat,500,"Voitures, Offre","
",Essence,"(None,)"
2017,40 000 - 44 999,Land Rover,Range Rover Sport,12 CV,belvedere,Diesel,"(None,)"
2014,90 000 - 94 999,Hyundai,Santa Fe,9 CV,massira,Diesel,198 000
2016,75 000 - 79 999,Renault,Kangoo,6 CV,"Voitures, Offre",Diesel,110 000
2006,180 000 - 189 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,42 000
2009,130 000 - 139 999,BMW,X6,12 CV,hay_el_fath,Diesel,"(None,)"
2016,80 000 - 84 999,Volkswagen,Tiguan,8 CV,massira,Diesel,235 000
2013,140 000 - 149 999,Opel,Astra,7 CV,sidi_maarouf,Diesel,199 000
2016,25 000 - 29 999,Mercedes-Benz,220,"Voitures, Offre","
",Diesel,"(None,)"
2014,80 000 - 84 999,Audi,A5,8 CV,massira,Diesel,265 000
1999,35 000 - 39 999,Fiat,Palio,6 CV,"Voitures, Offre",Essence,29 000
2017,20 000 - 24 999,Peugeot,508,6 CV,massira,Diesel,186 000
2011,110 000 - 119 999,Hyundai,i 10,6 CV,"Voitures, Offre",Essence,62 000
2015,75 000 - 79 999,Ford,Fiesta,6 CV,hay_nahda,Diesel,103 000
2014,60 000 - 64 999,Mercedes-Benz,220,8 CV,les_princesses,Diesel,"(None,)"
2014,100 000 - 109 999,Audi,A4,8 CV,massira,Diesel,215 000
2014,110 000 - 119 999,Peugeot,308,6 CV,massira,Diesel,119 000
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(None,)"
ain_sebaa,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Camions, Offre",170 000
2019,0 - 4 999,Audi,A3,8 CV,hay_hassani,Diesel,"(None,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",160
2009,0 - 4 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,50 000
2015,85 000 - 89 999,Peugeot,Expert,7 CV,ain_borja,Diesel,115 000
2012,80 000 - 84 999,Peugeot,Bipper,6 CV,ain_chock,Diesel,57 000
hay_el_fath,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Meubles et Décoration, Offre",110
"Services, Offre",,"
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
","(None,)"
2016,45 000 - 49 999,Hyundai,i 10,6 CV,"Voitures, Offre",Essence,"(None,)"
"Services, Offre",,"
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
",250
2010,85 000 - 89 999,Peugeot,207,8 CV,"Voitures, Offre",Essence,65 000
2014,60 000 - 64 999,Fiat,500,belvedere,"Voitures, Offre",Diesel,"(None,)"
2009,100 000 - 109 999,Mitsubishi,lancer,"Voitures, Offre","
",Essence,"(None,)"
2009,300 000 - 349 999,Toyota,Auris,5 CV,wifak,Diesel,78 000
2010,250 000 - 299 999,Renault,Kangoo,oulfa,"Voitures, Offre",Diesel,70 000
2,"72 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",autre_secteur,380 000
2015,80 000 - 84 999,Land Rover,Range Rover Sport,12 CV,belvedere,Diesel,"(None,)"
2005,65 000 - 69 999,Peugeot,206,centre_ville,"Voitures, Offre",Essence,48 000
route_de_casablanca,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Sports et Loisirs, Offre",300
2017,30 000 - 34 999,Land Rover,Range Rover,belvedere,"Voitures, Offre",Diesel,"(None,)"
2008,15 000 - 19 999,Suzuki,Carry,7 CV,autre_secteur,Diesel,60 000
2011,140 000 - 149 999,Hyundai,i 30,6 CV,"Voitures, Offre",Diesel,93 000
2016,10 000 - 14 999,Ford,Focus,6 CV,mozart,Diesel,156 000
2011,200 000 - 249 999,Volkswagen,GOLF 4,8 CV,"Voitures, Offre",Diesel,76 000
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(None,)"
2014,70 000 - 74 999,Ford,Focus,6 CV,belvedere,Diesel,136 000
4,"280 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",val_fleuri,4 800 000
2013,150 000 - 159 999,Land Rover,Range Rover,12 CV,centre_ville,Diesel,520 000
2009,140 000 - 149 999,Hyundai,Veracruz,11 CV,hay_dakhla,Diesel,105 000
2012,190 000 - 199 999,Mitsubishi,pajero,11 CV,"Voitures, Offre",Diesel,75 000
1994,200 000 - 249 999,Citroen,C15,7 CV,hay_hassani,Diesel,23 000
2000,25 000 - 29 999,Volkswagen,Bora,8 CV,"Voitures, Offre",Diesel,60 000
2002,160 000 - 169 999,Peugeot,206 CC,centre_ville,"Voitures, Offre",Essence,60 000
2007,250 000 - 299 999,Mercedes-Benz,Vito,9 CV,aharrarine,Diesel,135 000
2013,70 000 - 74 999,Ford,Ka,6 CV,"Voitures, Offre",Essence,70 000
2015,90 000 - 94 999,Peugeot,3008,6 CV,ain_borja,Diesel,145 000
2010,120 000 - 129 999,Volkswagen,GOLF 6,6 CV,"Voitures, Offre",Diesel,"(None,)"
2014,120 000 - 129 999,Renault,Kangoo,6 CV,narjis,Diesel,84 000
